pca_id,group,camphene,alpha_phellandrene,limonene,ocimene,terpinolene,terpinen_four_ol,methyl_salicylate,bornyl_acetate,alpha_humulene,methyl_jasmonate,alpha_pinene,beta_myrcene,alpha_terpinene,beta_phellandrene,fenchone,camphor,alpha_terpineol,eugenol,beta_caryophyllene,trimethyl_trideca,cis_three_hexen_one_ol,sabinene,beta_pinene,p_cymene,eucalyptol,gamma_terpinene,linalool,linalool_oxide,longifolene,beta_farnesene,one_four_cineole,menthol,borneol,citronellol,alpha_copaene
sample_p5_12pm_forest_fall_2023,ff12,-1.384426407,-0.679374797,-0.385889177,-1.418681863,-1.611637581,-0.88019838,-1.350348343,-1.249771021,-1.810962789,-1.0521448,-0.705110667,-1.250390588,-1.459040021,0.351331281,-1.269932029,-1.040279416,-1.902604272,#NAME?,-2.035572679,-1.843752233,-2.576095016,-0.57684306,-1.063228387,-1.169084703,-1.56693992,-1.525592753,-0.546304762,-1.720913067,-1.655411544,-0.371212921,-2.1719146,-0.879083601,-1.615610502,-1.337291635,-3.017856935
sample_p5_6pm_forest_fall_2023,ff6,-0.658715026,-0.909265265,-0.576266895,-1.711314565,-2.151067329,-1.113446158,-1.323251072,-1.019011475,-1.42666107,-0.914781729,-0.828118977,-1.443610956,-1.571958608,-1.126089455,-0.358380742,-0.79984728,-1.469573497,-2.658293417,-1.417189686,-2.001693556,-2.621919002,-0.546997178,-1.257632253,-1.24730544,-1.454937772,-1.594236269,-1.114326018,-0.912663879,-2.047416891,-0.141047765,-2.326003886,-0.893606937,-1.371524022,0.282644682,-3.031633997
sample_p5_8am_forest_fall_2023,ff8,-1.218730748,-0.300686382,0.040347519,-1.250321823,-1.12688569,-1.893591155,-1.202337887,-0.992268617,-1.824232543,-1.286934745,-0.917149794,-0.865852104,-1.239310155,0.730019755,-0.993790178,-0.947375384,-1.799441919,-1.920481705,-1.581482388,-2.231555627,-1.891976297,-0.333643347,-0.880710768,-0.379987959,-1.113043301,-1.284364862,-0.260618339,-1.800457346,-1.609612863,-0.538478881,-1.411557882,-0.85253466,-1.720201045,-1.275960519,-3.031126689
sample_p3_12pm_forest_spring_2024,fsp12,-2.426427695,-2.66636453,-0.894361664,-1.389474559,-1.9361276,-0.180788813,-1.064783053,-1.494987588,-1.917870449,-1.199690068,-1.223349447,-2.393565991,-1.272395753,-0.268999262,-1.141592232,-1.507827574,-2.392586397,-1.162138435,-2.543882375,-2.198822801,-2.734155939,-2.020568323,-1.785156642,-1.888720544,-2.018149772,-1.203086949,-0.34915701,-1.996231168,-1.908022098,-0.753541425,-1.651480099,-1.479933765,-1.878618719,-1.807325541,-2.875025553
sample_p3_6pm_forest_spring_2024,fsp6,-2.542717718,-3.119614342,-1.396672772,-2.399041574,-1.73764843,-0.846271706,-1.464566366,-1.256865963,-1.867548143,-0.624542425,-1.859377735,-2.963031659,-1.693931935,-2.142429238,-2.155936024,-1.467141566,-2.156797003,-0.585790265,-2.658503663,-1.19511975,-2.692449322,-1.744935535,-2.240653875,-1.936362043,-1.804744045,-3.048931204,-0.819745102,-1.638188982,-2.451641638,0.11632475,-1.874507061,-0.990539801,-1.477602848,-1.114945569,-2.63289914
sample_p3_8am_forest_spring_2024,fsp8,-2.267488693,-2.193500912,-0.564014881,-1.721297041,-1.759617766,-0.608972093,-1.197716521,-1.318665117,-1.637803537,-0.905565405,-1.508015583,-1.401657431,-1.727147913,-0.775257797,-1.413701237,-1.353741339,-1.925872513,-0.402523548,-2.358179936,-2.414660976,-2.317116952,-0.635371531,-1.408566932,-1.144846624,-1.806918962,-0.830859208,-0.543180938,-1.907821527,-1.949790129,-0.101304204,-1.574904158,-1.053422848,-1.566358519,-1.372520204,-3.095560095
sample_p4_12pm_forest_spring_2024,fsp12,-1.630401064,-1.792103538,-0.716207461,-1.246093548,-1.561055658,0.243306919,-1.186151185,-1.419372955,-1.856669107,-1.098126337,-1.0627467,-2.718216844,-1.078462779,-1.332693365,-2.481290249,-2.069396782,-2.644292345,-0.89632632,-2.558402171,-0.886189989,-2.67383147,-1.753150186,-1.426475347,-1.665979521,-1.524921977,-1.784160634,0.12220602,-1.935930066,-1.845764998,-0.379907649,-1.446781637,-1.299667161,-1.912317677,-1.428858662,-3.147777878
sample_p4_6pm_forest_spring_2024,fsp6,-2.844614282,-2.616633018,-1.202609435,-1.947905365,-1.809942711,-0.567541635,-1.336702249,-2.173950348,-1.869476128,-0.819774698,-1.598705676,-2.298457855,-1.551191751,-1.617394285,-1.921780581,-1.794979313,-2.429382261,-0.799389862,-2.556730532,-2.129547837,-2.673067547,-1.420227295,-2.100561439,-1.843863909,-1.626225712,-2.249199392,-0.511528122,-2.06964364,-2.048330417,-0.370436327,-1.877771665,-1.156858858,-1.813576247,-1.468682254,-2.930767762
sample_p4_8am_forest_spring_2024,fsp8,-2.328430511,-2.80139408,-1.095223493,-1.88486639,-1.600692744,-0.516197759,-1.110806257,-0.807471325,-0.909661599,0.048138835,-1.377987402,-1.626864901,-2.495371998,-1.102456931,-0.901122185,-0.92320283,-1.364452934,-0.185607054,-1.789946502,-2.277629197,-2.382855935,-1.307121146,-1.50848033,-1.773965425,-1.660327413,-2.191778206,0.201901471,-0.889573196,-2.294570542,0.19826588,-1.715152919,-0.813885736,-1.371158531,-0.821936964,-3.071325273
sample_p5_12pm_forest_spring_2024,fsp12,-1.77873372,-2.320579106,-0.700959835,-1.904914211,-1.757103146,0.134418342,-0.844454299,-1.413577666,-1.05366762,-0.06630705,-0.992259747,-2.2200786,-1.449848521,0.006242847,-1.076043242,-1.661628857,-2.266594447,-0.490660008,-2.071390719,-2.052989898,-1.775009155,-1.381098224,-1.097817217,-1.3042189,-1.60070444,-2.16622365,-0.008513979,-1.818395056,-1.756106832,-0.34477603,-1.199897503,-1.276836656,-1.795140249,-1.181297885,-2.877365228
sample_p5_6pm_forest_spring_2024,fsp6,-1.5638936,-2.086787679,-0.744845014,-1.77945831,-1.59809264,-0.057959477,-1.046819932,-1.129268911,-0.702223851,0.345317988,-1.070490346,-1.804406677,-2.46363758,-1.194231461,-0.143413934,-1.400817579,-1.479776901,-0.501455743,-1.962213264,-0.938069518,-2.619734056,-0.987639647,-1.484795309,-1.682029529,-1.806590785,-0.998296736,0.195493272,-1.189163607,-2.161377908,-0.212761235,-1.612582449,-1.367506271,-1.86970946,-1.221460698,-3.088625186
sample_p5_8am_forest_spring_2024,fsp8,-1.499493406,-2.072886319,-1.346995784,-1.574253062,-2.126897875,-0.301750631,-0.711741072,-0.760036232,-1.094540631,0.123400498,-0.426957193,-1.437188935,-1.916886319,-0.614036681,-0.717787405,-0.892228225,-1.636455397,-0.160528209,-1.992885738,-1.20455542,-2.207700799,-0.582081319,-0.90749803,-1.218898442,-1.617551111,-1.690853347,-0.41212832,-0.850183229,-1.795483113,0.228643225,-1.567535167,0.502644943,-0.118946804,-0.540293158,-2.786380691
sample_p3_12pm_forest_summer_2024,fs12,-2.396890984,-2.900531678,-1.458325591,-2.462738574,-1.992500672,-1.088854201,-1.449294368,-1.546270034,-1.933466978,-1.367832979,-1.658069752,-2.375737835,-1.751959926,-1.847549553,-2.527457411,-1.498961362,-2.819146745,-1.208942213,-2.296079462,-2.864036341,-2.705899564,-1.246584687,-2.637566749,-1.928886663,-2.039479951,-2.555467017,-0.883352002,-1.79801364,-2.626705998,-0.414575088,-2.021926467,-1.438176153,-1.942546495,-1.768030739,-3.075079448
sample_p3_6pm_forest_summer_2024,fs6,-1.220322375,-0.987944794,-0.084017493,0.010181878,-1.191067083,0.111776833,-0.622656373,-0.814532047,0.940088719,-0.483369147,-0.541201649,-1.267688789,-1.293829655,0.595408044,-0.219481653,-0.811178122,-1.349326062,-0.204217428,-2.282754047,-1.64000493,-1.15183652,-0.194518255,-1.149305341,-1.044703956,-1.158919089,-1.257045339,0.548373757,-0.990633835,-1.455925376,0.266782573,-1.445427506,-0.970427649,-1.340111225,-0.549516225,-2.257022008
sample_p3_8am_forest_summer_2024,fs8,-2.271844783,-2.697366886,-0.867523947,-1.652803286,-2.334032409,-0.031905493,-1.213030916,-1.446621251,-1.456321057,-0.856275129,-1.450730211,-2.913233217,-2.034006767,-0.196638086,-0.881297283,-1.937549922,-2.52407197,-2.296694532,-2.370408782,-2.718130046,-2.686740441,-1.245359804,-1.833013718,-1.772248581,-2.385296661,-2.174779901,-0.183767288,-1.894814913,-2.052580355,-0.821526348,-1.625350921,-1.309930064,-1.738554462,-1.420163759,-3.089870333
sample_p4_12pm_forest_summer_2024,fs12,-2.472556003,-3.095738148,-1.612425497,-2.078391388,-1.879371718,-0.825940918,-1.365756386,-1.311488474,-1.299417492,-1.138162017,-1.717399169,-2.588208208,-1.916821126,-1.398345707,-0.917407624,-1.548734072,-2.338404068,-1.153295141,-2.558182905,-2.267364605,-2.407703065,-1.139243866,-2.675370185,-1.934014586,-1.58617111,-2.370348955,-0.683643124,-1.69758636,-2.643787277,-0.219088044,-2.034665967,-1.282378309,-1.886238166,-0.947361199,-3.174710329
sample_p4_6pm_forest_summer_2024,fs6,-2.114116734,-3.158243931,-1.272686622,-1.78200316,-2.124363651,-0.783239845,-1.133986894,-1.127921376,-1.619082669,-1.193189851,-1.281154142,-2.903446974,-2.659250331,-1.09032119,-0.800586813,-1.430305014,-1.781562658,-0.929965977,-1.951731724,-1.565727041,-1.723316285,-1.203266944,-1.827505811,-2.024178234,-1.60844168,-2.337494991,-0.518738845,0.028926367,-2.509408127,-0.234531509,-2.893032867,-1.348423493,-1.705633253,0.150703335,-3.167017476
sample_p4_8am_forest_summer_2024,fs8,-2.327777846,-2.66392085,-0.942025163,-1.928658626,-2.173397075,-0.157491541,-1.359642963,-1.388435639,-1.420576816,-1.630123347,-1.470191916,-2.914000832,-2.53646511,-1.335902933,-0.960736888,-1.799953411,-2.413458247,-1.295996622,-2.572955819,-2.185865256,-2.650596861,-1.50557334,-2.795617255,-1.766030894,-2.427664472,-2.496844327,-0.351690903,-1.958476625,-2.631408475,-0.660048315,-1.486416383,-1.446633878,-1.774224158,-1.557661957,-2.771124307
sample_p5_12pm_forest_summer_2024,fs12,-2.423912465,-2.796296377,-1.302890414,-1.967076576,-1.979458077,-1.052488123,-1.261524656,-1.218000158,-1.054535691,-0.571825661,-1.745595329,-2.122325013,-2.730621452,-1.517805489,-0.449770665,-1.008080406,-1.454720782,-0.988654844,-2.220026467,-0.992426092,-2.185389886,-0.914350295,-2.003940399,-1.936923489,-1.715320479,-1.835482033,-0.895685674,-0.841773081,-2.137619377,-0.274579213,-1.875697384,-1.234647495,-1.693971303,0.383918411,-2.875210071
sample_p5_6pm_forest_summer_2024,fs6,-2.53925968,-1.648508418,-1.317041872,-1.797307789,-2.205429736,-0.864656665,-1.083231544,-2.110218806,-1.029861318,-1.052563182,-1.273776338,-2.104927848,-2.72703297,-1.159541678,-0.536604968,-1.047659013,-1.434939206,-0.926184901,-1.951647249,-2.374212276,-2.581313655,-1.046301784,-2.12712931,-1.99024127,-1.300389998,-2.12106848,-0.686308562,-1.140383531,-2.402110248,-0.357301363,-1.824595603,-0.878375502,-1.714433192,0.356192756,-2.437165068
sample_p5_8am_forest_summer_2024,fs8,-2.583087962,-3.181450062,-1.614670076,-2.056571725,-2.314725777,-0.928541255,-1.478385846,-1.438291567,-1.342871652,-0.940224716,-1.938239856,-2.594468179,-2.083327153,-1.99731675,-0.849199014,-1.846762692,-2.251035263,-1.058643239,-2.351312785,-2.365264384,-2.708188945,-1.408261492,-2.476084348,-1.705164009,-2.412541011,-2.851361746,-0.841205668,-1.523328959,-2.71848039,-0.514742362,-1.947381205,-1.363443456,-2.020976726,-1.126875514,-2.80393175
